REP_AGEN,Longitude,Latitude,OBJECTID,MSRI_CODE,MSRI_DESCR,COMMENT,Date,TOWN_ID,ROUTE_DES,ROUTE,BEGIN_MM,END_MM,LRS_CODE,TOWN,LOCATION
FW,-71.5070354,44.9115361,1128,Moose,NULL,NULL,10/30/01,-9999,NULL,-9999,-9999,-9999,NULL,LOWELL,"RTE 100, 1 MI S OF LOWELL"
FW,-71.50726645,44.91153226,1648,Bear,NULL,NULL,9/1/81,-9999,NULL,-9999,-9999,-9999,NULL,Charleston,"S of rise, immed S of Pensioner Pnd corn field"
AOT,-71.52081552,44.88413738,297,Moose,Moose,2 moose beside road cow and calf,6/30/04,512,VT 102,102,5,5,V102-0512,LEMINGTON,NULL
FW,-71.52388797,44.95384801,1649,Bear,NULL,NULL,9/18/82,-9999,NULL,-9999,-9999,-9999,NULL,Winhall,"Rte 11/30, mm 0110-0216-0200"
FW,-71.52440899,44.9549908,1650,Bear,NULL,NULL,7/9/85,-9999,NULL,-9999,-9999,-9999,NULL,Coventry,"I-91, 1 mi S of rest area in Newport /Derby"
FW,-71.53720449,44.99678733,1657,Bear,NULL,NULL,9/26/99,-9999,NULL,-9999,-9999,-9999,NULL,Duxbury,"Rte 100, Dux - Hills, 1/5 mi S of store"
FW,-71.55058744,44.59161061,1791,Bear,NULL,NULL,10/18/85,-9999,NULL,-9999,-9999,-9999,NULL,Sheffield,"I-91 N, mm 149"
FW,-71.55631338,44.84147138,1743,Bear,NULL,NULL,10/10/99,-9999,NULL,-9999,-9999,-9999,NULL,Newfane,"Rte 30, N of Flea Market"
FW,-71.55643125,44.84110052,1745,Bear,NULL,NULL,8/18/97,-9999,NULL,-9999,-9999,-9999,NULL,Concord,"Rte 2, jct River Rd"
FW,-71.55722309,44.57160625,2815,Moose,NULL,NULL,10/11/95,-9999,NULL,-9999,-9999,-9999,NULL,NORTON,3 MI S NORTON VILLAGE
FW,-71.55835111,44.62090114,1790,Bear,NULL,NULL,10/3/80,-9999,NULL,-9999,-9999,-9999,NULL,Sheffield,"I-91, mm 148"
FW,-71.563001,44.82699457,2393,Moose,NULL,NULL,10/1/89,-9999,NULL,-9999,-9999,-9999,NULL,DANVILLE,DOLE HILL
FW,-71.56423373,44.82656013,1744,Bear,NULL,NULL,9/17/99,-9999,NULL,-9999,-9999,-9999,NULL,Dover,Rte 100 by Snow Mt
FW,-71.56481906,44.82634202,1746,Bear,NULL,NULL,6/28/96,-9999,NULL,-9999,-9999,-9999,NULL,Sherburne,"Rte 4, 150 yds E of Mendon Mtn top"
FW,-71.56536761,44.92118449,1199,Moose,NULL,NULL,5/30/01,-9999,NULL,-9999,-9999,-9999,NULL,KILLINGTON,"RTE 4, 1 MI E OF ACCESS RD"
FW,-71.56592879,44.63889917,2315,Moose,NULL,NULL,6/17/97,-9999,NULL,-9999,-9999,-9999,NULL,FERRISBURGH,US 7 North of Dakin Farms
FW,-71.56760905,44.91863448,2394,Moose,NULL,NULL,10/10/92,-9999,NULL,-9999,-9999,-9999,NULL,DANVILLE,DANVILL RES
FW,-71.57037529,44.82349648,2572,Moose,NULL,NULL,8/14/00,-9999,NULL,-9999,-9999,-9999,NULL,WILLISTON,MM 81 SOUTHBOUND
FW,-71.58040409,45.00956646,2324,Moose,NULL,NULL,7/26/95,-9999,NULL,-9999,-9999,-9999,NULL,GRANVILLE,Granville Gulf Rt. 100
FW,-71.58410624,44.53999879,1741,Bear,NULL,NULL,9/18/98,-9999,NULL,-9999,-9999,-9999,NULL,Stratton,"Rte 100, @ Wardsboro t.l."
FW,-71.58710289,45.00922156,1681,Bear,NULL,NULL,8/1/96,-9999,NULL,-9999,-9999,-9999,NULL,Danville,"0.5 mi E of W. Danville, Rte 2"
FW,-71.58878912,45.00871122,1672,Bear,NULL,NULL,10/3/91,-9999,NULL,-9999,-9999,-9999,NULL,Sunderland,"Rte 7, exit 3"
FW,-71.58953347,45.00833625,1662,Bear,NULL,NULL,10/2/99,-9999,NULL,-9999,-9999,-9999,NULL,Waterbury,Rte 100 by Black Locust Lodge
FW,-71.59061341,45.00796385,1664,Bear,NULL,NULL,7/16/01,-9999,NULL,-9999,-9999,-9999,NULL,Marlboro,#1855 Rte 9
FW,-71.59115841,45.00737464,1665,Bear,NULL,NULL,7/8/93,-9999,NULL,-9999,-9999,-9999,NULL,Londonderry,"Rte 11, turn to Little Pond"
