key,timeCreated,dateCreated,latitude,longitude,altitude,deviceId,entryId,lastEdited,timeUploaded,projectName,photo,Date1,UniqueIdentifier,Precipitation,Temperature-Original,Temperature (F),State,County,Town,LocationDetails,RoadType,Speed,Time,Taxon,SpeciesName,Sex,Age,Habitat,Scavengers,DurationOnRoad,TravelInquiry,Traffic,LongtermRoadkillTrend,Season,Hotspot,Notes
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDY6dCVCgw,26:59.9,2015-Jan-02,42.01564211,-71.21734237,14,3449cbd6cf12c12bb10ebee8cbbb9c6c2a75dafc,B90A4E0C-B4DB-42F6-8373-468D477D33AF-2367-000004F94D99B2BF,Fri Jan 02 17:29:47 PST 2015,Fri Jan 02 17:29:49 PST 2015,RoadkillGarneau,http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDY6dCVCgw,2015-01-02,DGarneau,None,-9999,-9999,Massachusetts,Bristol,Mansfield,222 Basin St,Residential st,30,Morning,Mammal,Opossum,Indistinguishable,Null,"Residential,Residential,MixedForest",Zero,Unknown,Rarely,Light,5yrs,Fall,No,Null
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDo4fqVCQw,55:50.0,2014-Oct-27,44.58328681,-73.43972127,41,3449cbd6cf12c12bb10ebee8cbbb9c6c2a75dafc,5521E18C-0810-4637-8AE5-6367827B0C82-23833-00002647D009D9B6,Mon Oct 27 12:57:08 PDT 2014,Sat Nov 15 21:01:01 PST 2014,RoadkillGarneau,http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDo4fqVCQw,Null,Null,Null,-9999,-9999,Null,Null,Null,Null,Null,-9999,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICo1bCJCgw,28:34.0,2014-Oct-20,44.47053198,-73.48461628,155.3474426,3449cbd6cf12c12bb10ebee8cbbb9c6c2a75dafc,1586B834-0BF7-4973-B3BC-AFC259F667C9-19499-0000204C65D9F675,Mon Oct 20 15:31:01 PDT 2014,Sat Oct 25 20:08:10 PDT 2014,RoadkillGarneau,http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICo1bCJCgw,2014-10-20,DGarneau,None,42,42,Null,Null,Null,Route 9 near fledging crow farm,Null,55,Afternoon,Mammal,Virginia opossum,Null,Null,"Agriculture,Agriculture,Agriculture,Agriculture,Agriculture,DeciduousForest",Null,Null,Null,Null,Null,Null,Null,Null
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICIuoKsCgw,45:12.7,2014-Sep-26,44.57982471,-73.45481247,57,3449cbd6cf12c12bb10ebee8cbbb9c6c2a75dafc,BEDCB56B-F6D6-4C36-9061-3E21531D96CF-6150-0000087FA70A26C3,Fri Sep 26 15:45:53 PDT 2014,Wed Oct 01 20:24:43 PDT 2014,RoadkillGarneau,http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICIuoKsCgw,Null,Null,Null,-9999,-9999,Null,Null,Null,Null,Null,-9999,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICI7Ym_Cww,44:06.9,2014-Sep-23,44.59082239,-73.44032343,60,3449cbd6cf12c12bb10ebee8cbbb9c6c2a75dafc,535222B1-32FA-4890-82D1-49957BA1B0BF-4440-000006429DDF57CA,Tue Sep 23 21:44:45 PDT 2014,Wed Oct 01 20:24:43 PDT 2014,RoadkillGarneau,http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICI7Ym_Cww,Null,Null,Null,-9999,-9999,Null,Null,Null,Null,Null,-9999,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICI6dvCCww,52:42.9,2014-Sep-08,44.5826738,-73.43967064,37,3449cbd6cf12c12bb10ebee8cbbb9c6c2a75dafc,17B07049-79BC-4A35-8C4F-B0C8EB9D74E2-9142-00000ECC296322B0,Wed Oct 01 20:24:39 PDT 2014,Wed Oct 01 20:24:44 PDT 2014,RoadkillGarneau,http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICI6dvCCww,Null,Null,None,74,74,Null,Null,Null,Ausable marsh US route 9,Null,5.5,Morning,Mammal,Gray squirrel,Indistinguishable,Uncertain,"DeciduousForest,DeciduousForest,Lake",Zero,2days,Daily,Light,10yrs,Fall,Yes,Null
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICwmODDCAw,56:22.0,2014-Aug-25,44.66703099,-73.4469971,58,3449cbd6cf12c12bb10ebee8cbbb9c6c2a75dafc,81672C1C-5767-4767-A626-977708EFB024-1767-0000035097ABB4D4,Mon Aug 25 17:01:46 PDT 2014,Mon Aug 25 17:01:50 PDT 2014,RoadkillGarneau,http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICwmODDCAw,2014-08-25,DGarneau,None,77,77,New York,Clinton,Plattsburgh,Connecticut Ave near McBride's used cars,Null,45,Morning,Mammal,Gray squirrel,Null,Null,"Urban,Urban,Urban,Urban,Meadow",Zero,1day,Daily,Light,10yrs,Fall,No,Null
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICw7b_ECgw,48:37.4,2014-Aug-14,44.61293289,-73.44268838,57,3449cbd6cf12c12bb10ebee8cbbb9c6c2a75dafc,4ACF1B27-C526-40C6-9E74-D0DEC599836E-4219-0000055988FCEA1E,Thu Aug 14 22:48:59 PDT 2014,Mon Aug 25 17:01:51 PDT 2014,RoadkillGarneau,http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICw7b_ECgw,Null,Null,Null,-9999,-9999,Null,Null,Null,Null,Null,-9999,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDQn-7JCAw,41:31.5,2014-Aug-10,44.62620132,-73.44767367,34,3449cbd6cf12c12bb10ebee8cbbb9c6c2a75dafc,2A09EB69-A88E-4856-A611-2052BB1D1148-827-00000118A123D690,Sun Aug 10 15:44:43 PDT 2014,Mon Aug 25 17:01:51 PDT 2014,RoadkillGarneau,http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDQn-7JCAw,2014-08-10,DGarneau,None,74,74,New York,Clinton,Peru,Nimrod hollow boat launch near S Junction Rd US route 9,US route ,45,Morning,Bird,Ring necked gull,Indistinguishable,Uncertain,"MaintainedGrass,MaintainedGrass,Lake",Zero,2days,Daily,Moderate,5yrs,Summer,Yes,Null
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDQmrCZCQw,33:26.4,2014-Aug-10,44.65480913,-73.44309893,49,3449cbd6cf12c12bb10ebee8cbbb9c6c2a75dafc,F49B9CB0-07C6-4A12-BB0E-1C23707BA214-827-00000116D7ED394F,Sun Aug 10 15:33:44 PDT 2014,Sun Aug 10 15:36:39 PDT 2014,RoadkillGarneau,http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDQmrCZCQw,2014-08-10,DGarneau,None,74,74,New York,Clinton,Plattsburgh,Cliff Haven US route 9,US route,45,Morning,Mammal,Chipmunk,Indistinguishable,Uncertain,Residential,Zero,1day,Daily,Moderate,NoResponse,Fall,Yes,Null
