Park,Latitude,Longitude,Mortality Date,Species,Total Animals,Adult Female,Sex,Age_Class,Mortality Type,Original formatted date,Easting,Northing
Glacier National Park,51.24,-117.7,1959-08-20,Grizzly Bear,1,1,Female,ADULT,Railway,20/08/1959,453620,5676209
Glacier National Park,51.22,-117.7,1960-02-17,Wolverine,1,0,Male,ADULT,Railway,17/02/1960,452820,5674909
Glacier National Park,51.33,-117.4,1962-08-06,Black Bear,1,0,Unknown,UNKNOWN,Railway,6/8/1962,468820,5686609
Glacier National Park,51.41,-117.5,1962-08-24,Black Bear,1,0,Unknown,UNKNOWN,Highway,24/08/1962,467120,5696009
Glacier National Park,51.31,-117.5,1962-09-15,Black Bear,1,0,Unknown,UNKNOWN,Highway,15/09/1962,464020,5684309
Glacier National Park,51.37,-117.4,1962-10-31,Black Bear,1,1,Female,ADULT,Highway,31/10/1962,469220,5690609
Glacier National Park,51.32,-117.5,1964-09-16,Mountain Goat,1,0,Unknown,YLY,Highway,16/09/1964,466420,5685709
Glacier National Park,51.32,-117.5,1965-05-28,Mountain Goat,1,0,Male,ADULT,Highway,28/05/1965,466720,5685909
Glacier National Park,51.32,-117.5,1969-11-20,Mountain Goat,1,1,Female,ADULT,Highway,20/11/1969,466020,5685609
Glacier National Park,51.26,-117.5,1970-05-26,Black Bear,1,1,Female,ADULT,Highway,26/05/1970,463320,5679309
Glacier National Park,51.26,-117.6,1971-05-15,Grizzly Bear,1,0,Unknown,YOY,Highway,15/05/1971,460520,5679209
Glacier National Park,51.36,-117.4,1971-06-26,Black Bear,1,0,Unknown,YOY,Railway,26/06/1971,468920,5690309
Glacier National Park,51.27,-117.5,1971-08-23,Black Bear,1,1,Female,ADULT,Highway,23/08/1971,463867,5679694
Glacier National Park,51.32,-117.5,1971-09-12,Grizzly Bear,1,0,Unknown,YLY,Highway,12/9/1971,466420,5685709
Glacier National Park,51.25,-117.6,1972-06-12,Grizzly Bear,1,0,Male,ADULT,Highway,12/6/1972,457220,5677709
Glacier National Park,51.33,-117.5,1972-08-10,Mountain Goat,1,0,Unknown,YLY,Highway,10/8/1972,468220,5686409
Glacier National Park,51.39,-117.4,1972-08-10,Black Bear,1,1,Female,ADULT,Highway,10/8/1972,468785,5692801
Glacier National Park,51.32,-117.5,1973-09-17,Black Bear,1,0,Unknown,YOY,Highway,17/09/1973,464520,5685209
Glacier National Park,51.32,-117.5,1973-09-17,Black Bear,1,0,Unknown,YOY,Highway,17/09/1973,464600,5685000
Glacier National Park,51.23,-117.7,1975-09-04,Black Bear,1,1,Female,ADULT,Highway,4/9/1975,453300,5675200
Glacier National Park,51.26,-117.6,1975-09-08,Black Bear,1,1,Female,Adult,Railway,8/9/1975,459448,5678719
