variableName,dataType,description,controlledVocabularyValues,valuesList,missingValuesExplanation,collectionMethods,cleaningOrAnonymization
Park,String,Name of the Park,None,None,None,None,None
Latitude,Double,Latitude of event,Null,Null,None,None,None
Longitude,Double,Longitude of event,Null,Null,None,None,None
Mortality Date,Date,Date animal was found,None,None,None,None,None
Species,String,Species of animal,"Black Bear, Mountain Goat, Grizzly Bear, Wolverine",None,None,None,None
Total Animals,Integer,Number of animals,None,None,None,None,None
Adult Female,Integer,"Indicate whether animal was a female (1=yes, 0=no)",None,None,None,None,None
Sex,String,Sex of animal,"Male, Female, Unknown",None,None,None,None
Age_Class,String,Age of animal,"YOY (Young of this year), YLY (Young of last year), Adult, Unknown, Mixed group, Juvenile",None,None,None,None
Mortality Type,String,How the animal died,"Highway, Railway",None,None,None,None
Original formatted date,Date,Date animal was found,None,None,None,None,Formatted
Easting,Integer,Easting UTM coordinate,None,None,None,None,None
Northing,Integer,Northing UTM coordinate,None,None,None,None,None
