OBJECTID,X,Y,Latitude,Longitude,Date,AnimalType,Crash_Seve,County,Crash_Date_Original,Crash_Time_Original,Crash_Time,Primary_St,Distance,Dir,Secondary_,Weather,Fatalities,Injured,Property_D,Injury_Typ,Crash_Type,Total_Vehi,V1_Type,V1_Dir,V1_Driver_,V1_Lane_Nu,V1_Action,V1_Driver1,V1_Drive_1,V1_Vehicle,V1_Most_Ha,V1_All_Eve,V2_Type,V2_Dir,V2_Driver_,V2_Lane_Nu,V2_Action,V2_Driver1,V2_Drive_1,V2_Vehicle,V2_Most_Ha,V2_All_Eve,First_Harm,Nonmotoris,Factors_Ro,Lighting,HWY_Factor,Agency,Accident_R,Pedalcycli,Pedestrian,Motorcycli,CrashDateT,GlobalID
299006,251857.3326,4389654.487,39.62,-119.9,2015-04-03,UNKNOWN,PROPERTY DAMAGE ONLY,WASHOE,Fri Apr 03 00:00:00 PDT 2015,Sun Dec 31 21:18:00 PST 1899,21:18:00,US395S,2640,N,MILE MARKER 34.37,CLEAR,-9999,-9999,PDO,Null,NON-COLLISION,1,CARRY-ALL,S,-9999,-9999,GOING STRAIGHT,APPARENTLY NORMAL,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,NONE,NHP,2176806,Null,Null,Null,2015-04-04T04:18:00.000Z,{1AB5182E-16F0-44D7-8424-37DD7B4C6A1A}
296750,419991.8865,4305428.245,38.89,-117.9,2015-04-03,CATTLE,INJURY CRASH,NYE,Fri Apr 03 00:00:00 PDT 2015,Sun Dec 31 22:06:00 PST 1899,22:06:00,SR361,1056,S,MILE MARKER 11,CLEAR,-9999,1,Null,B,NON-COLLISION,1,PICKUP,S,66,1,GOING STRAIGHT,APPARENTLY NORMAL,Null,OBJECT AVOIDANCE,Null,CATTLE: RAN OFF ROAD RIGHT: OVERTURN/ROLLOVER,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DARK - NO LIGHTING,ANIMAL IN ROADWAY,NHP,2176811,Null,Null,Null,2015-04-04T05:06:00.000Z,{FF128AF2-A821-4BDE-BB30-DC9CB97EEF1D}
295110,715803.6733,4166669.229,37.62,-114.6,2015-04-10,DEER,PROPERTY DAMAGE ONLY,LINCOLN,Fri Apr 10 00:00:00 PDT 2015,Sun Dec 31 19:50:00 PST 1899,19:50:00,US93N,1584,S,MILE MARKER 91,CLEAR,-9999,-9999,PDO,Null,NON-COLLISION,1,PICKUP,N,25,1,GOING STRAIGHT,APPARENTLY NORMAL,Null,Null,Null,DEER,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DARK - NO LIGHTING,ANIMAL IN ROADWAY,NHP,2177163,Null,Null,Null,2015-04-11T02:50:00.000Z,{EFF9580E-1239-4B28-8B6F-16D2C775DFEA}
294903,262451.2038,4367432.665,39.42,-119.8,2015-04-17,CATTLE,PROPERTY DAMAGE ONLY,WASHOE,Fri Apr 17 00:00:00 PDT 2015,Sun Dec 31 00:09:00 PST 1899,0:09:00,US395A,300,S,BISHOP MANOGUE DR,CLEAR,-9999,-9999,PDO,Null,NON-COLLISION,1,"SEDAN, 4 DOOR",N,-9999,-9999,GOING STRAIGHT,APPARENTLY NORMAL,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,NHP,2177472,Null,Null,Null,2015-04-17T07:09:00.000Z,{C475E637-B3E9-4CB7-8C74-BE85EBF72D38}
295380,431888.5559,4530765.225,40.93,-117.8,2015-04-24,HORSE,PROPERTY DAMAGE ONLY,HUMBOLDT,Fri Apr 24 00:00:00 PDT 2015,Sun Dec 31 20:29:00 PST 1899,20:29:00,ROSE CREEK RD,2435,E,SR796,CLOUDY,-9999,-9999,PDO,Null,NON-COLLISION,1,CARRY-ALL,W,-9999,-9999,GOING STRAIGHT,APPARENTLY NORMAL,Null,OBJECT AVOIDANCE,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,NONE,NHP,2177870,Null,Null,Null,2015-04-25T03:29:00.000Z,{FF0A2F7F-5DAC-45DB-B412-F47260763E40}
297395,575916.6654,4224923.608,38.17,-116.1,2015-04-24,CATTLE,PROPERTY DAMAGE ONLY,NYE,Fri Apr 24 00:00:00 PDT 2015,Sun Dec 31 08:59:00 PST 1899,8:59:00,SR375,528,N,MILE MARKER 14,CLOUDY,-9999,-9999,PDO,Null,NON-COLLISION,1,PICKUP,S,-9999,-9999,GOING STRAIGHT,APPARENTLY NORMAL,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,INACTIVE WORK ZONE,NHP,2177823,Null,Null,Null,2015-04-24T15:59:00.000Z,{76C03C41-4870-492D-A9D2-26D41088A314}
300768,612814.1672,4515433.934,40.78,-115.7,2015-08-07,DEER,PROPERTY DAMAGE ONLY,ELKO,Fri Aug 07 00:00:00 PDT 2015,Sun Dec 31 06:35:00 PST 1899,6:35:00,SR227,2100,N,MILE MARKER 8,CLOUDY,-9999,-9999,PDO,Null,NON-COLLISION,1,CARRY-ALL,N,27,2,GOING STRAIGHT,APPARENTLY NORMAL,Null,OBJECT AVOIDANCE,Null,DEER,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DAWN,ANIMAL IN ROADWAY,NHP,2182789,Null,Null,Null,2015-08-07T13:35:00.000Z,{148EE121-E65D-424E-BE38-927EABADEE6A}
336752,245780.4475,4348557.129,39.25,-119.9,2015-08-07,DEER,PROPERTY DAMAGE ONLY,WASHOE,Fri Aug 07 00:00:00 PDT 2015,Sun Dec 31 22:34:00 PST 1899,22:34:00,SR28,100,S,SOUTHWOOD BLVD E,CLEAR,-9999,-9999,PDO,Null,NON-COLLISION,1,STATION WAGON,N,39,1,GOING STRAIGHT,APPARENTLY NORMAL,Null,Null,Null,DEER,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DARK - NO LIGHTING,NONE,NHP,2294682,Null,Null,Null,2015-08-08T05:34:00.000Z,{6D9BFA68-AA8F-49B2-9F94-141AC5890F2E}
299826,596285.0783,4615667.803,41.69,-115.8,2015-08-21,DEER,PROPERTY DAMAGE ONLY,ELKO,Fri Aug 21 00:00:00 PDT 2015,Sun Dec 31 21:19:00 PST 1899,21:19:00,SR225,0,Null,MILE MARKER 95,CLEAR,-9999,-9999,PDO,Null,NON-COLLISION,1,"HARDTOP, 4 DOOR",S,41,1,GOING STRAIGHT,APPARENTLY NORMAL,Null,Null,Null,DEER,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DARK - NO LIGHTING,ANIMAL IN ROADWAY,NHP,2196871,Null,Null,Null,2015-08-22T04:19:00.000Z,{52E27EEE-C97C-47A6-8985-3DCB43F7883F}
299924,607926.7314,4518201.363,40.81,-115.7,2015-08-21,CATTLE,PROPERTY DAMAGE ONLY,ELKO,Fri Aug 21 00:00:00 PDT 2015,Sun Dec 31 23:53:00 PST 1899,23:53:00,SR227,375,N,MILE MARKER 4,CLEAR,-9999,-9999,PDO,Null,NON-COLLISION,1,CARRY-ALL,S,16,1,GOING STRAIGHT,APPARENTLY NORMAL,Null,Null,Null,CATTLE,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DARK - NO LIGHTING,ANIMAL IN ROADWAY,NHP,2196877,Null,Null,Null,2015-08-22T06:53:00.000Z,{617575B0-0F00-4FBB-8AAE-2DB2178E953C}
