X,Y,OBJECTID,ReportDate,Region,County,Locale,Sex,AgeClass,Weight,Cubs,Yearlings,BearID,SubType,RoadDate,BMU,ZipCode,Location,Latitude,Longitude,OrigCap,Age,LEarTag1,LEarTag2,REarTag1,REarTag2,Tattoo1,Tattoo2,TrackNum,last_edited_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-81.50648000042996,28.748870000129617,10915,2006-06-19T00:00:00.000Z,Northeast,Orange, ,Female,Adult,166, , ,Bear-0000007319,Capture,2006-06-19T00:00:00.000Z,Central,32712,"105 Earls Lane, Apopka; bear likely hit on 6/16 and was alive in Ms. Schutt's yard and put down on 6/19.",28.74887,-81.50648,Yes,3, , , , , , ,20286,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.362250000225998,30.24741,10916,2014-10-25T00:00:00.000Z,Northwest,Wakulla,River Sink,Female,Juvenile,105, , ,Bear-0000007321,Capture,2014-10-25T00:00:00.000Z,East Panhandle,32327,"Hwy 319, S of Hwy 267 Crawfordville Fl. 32327",30.24741,-84.36225,Yes,2, , , , , , ,59664,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-81.675645999715485,29.572531000038321,10917,2015-02-25T00:00:00.000Z,Northeast,Putnam,River Villas,Male,Juvenile,100, , ,Bear-0000007455,Capture,2015-02-25T00:00:00.000Z,Central,32189,woodline across from 202 Green Lane.,29.572531,-81.675646,Yes,3, , , , , , ,"62158, 62588",2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-80.513340000308091,26.166050000344139,10918,2015-03-17T00:00:00.000Z,South,Broward, ,Male,Cub,50, , ,Bear-0000007561,Capture,2015-03-17T00:00:00.000Z,South, ,Hwy 833,26.16605,-80.51334,Yes,1, , , , , , , ,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-82.151879999909127,29.872180000169656,10919,2014-07-30T00:00:00.000Z,North Central,Bradford,Hampton,Male,Adult,362, , ,Bear-0000009252,Capture,2014-07-30T00:00:00.000Z,Central, ,"301 South of Starke; 400 meters north of CR 18, west side of road",29.87218,-82.15188, ,4, , , , , , ,57296,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-82.004850000190615,29.609879999984809,10920,2006-06-25T00:00:00.000Z,Northeast,Putnam, ,Female,Juvenile,132, ,0,Bear-0000009367,Capture,2006-06-25T00:00:00.000Z,Central, ,6.8 Miles East of Hawthorne on Hwy 20 GPS coordinates in Deg/min/sec-8/16/11 they are correct now,29.60988,-82.00485,Yes,2, , , , , , ,20408,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-81.373368999881833,27.450057999997288,10921,2011-11-09T00:00:00.000Z,Southwest,Highlands,Kenilworth Rd.,Female,Juvenile,125, ,0,Bear-0000009368,Capture,2011-11-09T00:00:00.000Z,South Central, , ,27.450058,-81.373369,Yes,1, , , , , , ,39321,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-82.052730000018315,30.102669999647041,10922,2010-07-20T00:00:00.000Z,North Central,Bradford,Highland,Male,Juvenile,150, ,0,Bear-0000009394,Capture,2010-07-20T00:00:00.000Z,Central,32234,"301 N of Lawtey near Highland Baptist Church, South of Richard Mosley Road GPS 30 06.160 082 03.164",30.10267,-82.05273,Yes,2, , ,C119, , , , ,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.564819999776901,30.381379999906216,10923,2003-10-25T00:00:00.000Z,Northwest,Leon,Bloxham Cutoff,Male,Adult,330, ,0,Bear-0000009398,Capture,2003-10-25T00:00:00.000Z,East Panhandle,32457,"on 267 (Bloxham Cutoff), ~ 3.9 mi S of Rt 20 at Bloxham",30.38138,-84.56482,Yes,7, , , , , , , ,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.456916999972677,29.970782999667005,10924,2008-02-10T00:00:00.000Z,Northwest,Bay, ,Female,Juvenile,120, ,0,Bear-0000009966,Capture,2008-02-10T00:00:00.000Z,East Panhandle,32465,"North Side of US-98, ~5 miles West of Mexico Beach",29.970783,-85.456917,Yes,3, , , , , , , ,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
